gpo,2010,2020
12-14 años,421,309
15-19 años,9529,6717
20-24 años,64028,50382
25-29 años,143079,135421
30-34 años,215646,208894
35-39 años,280259,255261
40-44 años,281718,272809
45-49 años,275372,308848
50-54 años,271650,311548
55-59 años,224389,287983
60-64 años,189667,270929
65-69 años,142257,218692
70-74 años,114550,170969
75-79 años,81112,116070
80-84 años,54201,77039
85 años y más,40652,64445
